scenario,runIndex,seed,generator,numOfStates,numOfCalls,numOfLocals,numOfReturns,numOfStackSymbols,density,acceptingStatesDensity,numOfModules,secondDvpaNumOfStates,useSrs,useEquivalenceCheckToValidateOutput,equivalenceQueryCount,equivalenceQueryHypothesisStatesTotal,equivalenceQueryTimeUs,equivalenceQueryTargetMembershipQueryCount,equivalenceQueryTargetMembershipQuerySymbolsTotal,membershipQueryCount,membershipQuerySymbolsTotal,membershipQueryTimeUs,stackContentQueryCount,stackContentQuerySymbolsTotal,stackContentQueryTimeUs,srsCheckCount,srsCheckTimeUs,srsCounterexampleCount,automataGeneratedCount,automataGenerationTimeUs,learnerTimeUs,outputValidationTimeUs,status,targetNumOfStates,targetAcceptingStates,hypothesisNumOfStates,hypothesisAcceptingStates
commutation-srs-mixed,18,19,commutative,30,5,7,5,4,0.8,0.3,5,6,1,0,4,103,57915608,0,0,188396,986608,172,137746,745004,136,9,1860099,5,9,94164,59870552,0,passed,30,21,31,21
commutation-srs-mixed,19,20,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,3,31,9340491,0,0,135560,651589,77,101602,489691,118,9,1096885,6,9,84471,10522356,0,passed,25,22,26,22
commutation-srs-mixed,20,21,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,1,26,3623381,0,0,147426,687658,29,106038,528605,54,9,527893,8,9,57111,4208676,0,passed,25,13,26,13
commutation-srs-mixed,21,22,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,1,26,4900609,0,0,140610,888818,41,113790,756760,36,9,387129,8,9,65070,5353194,0,passed,25,9,26,9
commutation-srs-mixed,22,23,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,2,23,1370820,0,0,133386,703677,100,100332,543975,110,11,709487,9,11,63977,2144705,0,passed,25,17,21,14
commutation-srs-mixed,23,24,commutative,24,5,7,5,4,0.8,0.3,5,6,1,0,1,25,8539928,0,0,145517,917843,65,103181,694354,68,9,553673,8,9,65006,9159030,0,passed,24,18,25,18
commutation-srs-mixed,24,25,commutative,20,5,7,5,4,0.8,0.3,5,5,1,0,2,23,2199205,0,0,97200,495224,34,69448,365517,9,9,865035,7,9,39558,3104142,0,passed,20,16,21,16
commutation-srs-mixed,25,26,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,5,88,59308668,0,0,184794,1675954,86,145157,1451085,82,11,1844457,6,11,88330,61242298,0,passed,25,16,26,16
commutation-srs-mixed,26,27,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,3,60,4698803,0,0,327159,2137345,142,276032,1902773,229,16,1819622,13,16,158015,6677371,0,passed,25,9,26,9
commutation-srs-mixed,27,28,commutative,25,5,7,5,4,0.8,0.3,5,5,1,0,2,28,3906299,0,0,245924,1548465,771,189738,1245231,507,12,1542488,10,12,166042,5615806,0,passed,25,9,26,9
